agency,description,name,price
Ahwatukee Realty & Property Management Inc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,250'}",15417 S 38th Street Saguaro Point,"$469,900"
Realty Executives,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,981'}",41509 N Anthem Ridge Drive Anthem Country Club,"$1,099,999"
Pepper Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,065'}",600 Tombstone Canyon #C Old Bisbee,"$679,000"
Homesmart,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,152'}",16208 S 1st Street Parcel 13 At Foothills Club West,"$815,000"
Realty Executives,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,980'}",1324 W Wayne Court Anthem Unit 36,"$1,099,000"
Arizona Homestores Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,703'}",705 W Yuma Trail Warren,"$449,900"
Hague Partners,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,062'}",5019 E Vaughn Drive Pointe South Mountain Unit 8,"$550,000"
Realty Executives,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,476'}",42409 N Back Creek Way Anthem Country Club,"$1,050,000"
"Tierra Antigua Realty, Llc","{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '1,516'}",16 Clawson Avenue Old Bisbee,"$459,000"
"Brokers Only, Llc","{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,621'}",14228 S 2nd Street Foothills Club West Parcel 15E,"$1,240,000"
"Congress Realty, Inc.","{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,450'}",928 S Coy Street Mtn Ranch Estates,"$559,000"
Homesmart,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '960'}",10610 S 48th Street #1016 Desert Foothills Villas,"$295,000"
Realty One Group,"{'Beds': '3', 'Baths': '5 F 1 1/2', 'Sq.Ft.': '6,753'}",3307 N Mountain View Road S11 T1n R8e,"$4,950,000"
Arizona 360 Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,190'}",309 Park Avenue Bakerville,"$289,000"
