agency,description,name,price
Exp Realty,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,421'}",3425 E Birchwood Place San Sebastian At Valencia 2,"$1,299,999"
Coldwell Banker Realty,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,588'}",3333 E Powell Place Reids Ranch,"$1,250,000"
Tinzie Realty,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,717'}",2860 W Percheron Road Saddle Ridge West,"$1,200,000"
Lgi Homes,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,174'}",11533 W Cumberland Drive Ridgeview,"$375,900"
Engel & Volkers Gilbert,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,798'}",11604 N 114th Avenue Youngtown Plat 2 Lots 131-203 & Tr D,"$375,000"
Homesmart,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,817'}",6182 W Gary Drive Tuscany,"$1,230,888"
Exp Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '4,608'}",921 E Canyon Way Mcqueen Lakes,"$1,200,000"
Keller Williams Arizona Realty,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,200'}",3605 E Gemini Place Jacaranda Place Replat,"$1,199,999"
Century 21 Arizona West,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,023'}",1300 S Kellis Road Turtleback Mountain Ranch,"$1,199,000"
Homesmart,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,965'}",48905 N 288th Avenue Skip-In-Ranch Pt Nw4 Ne4,"$1,195,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,340'}",55606 N Vulture Mine Road None,"$1,185,000"
Arizona Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,714'}",11582 W Cinnabar Avenue Agua Fria Ranch,"$365,900"
RE/MAX Professionals,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,245'}",11545 W Cinnabar Avenue Agua Fria Ranch Phase 3,"$355,000"
Keller Williams Integrity First,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,599'}",634 E County Down Drive Fieldstone Estates,"$1,160,000"
RE/MAX Fine Properties,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,320'}",1310 Kenrick Drive N/A,"$1,098,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,630'}",1650 Hillside Drive Wickenburg Country Club Acres,"$1,065,000"
West Usa Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,280'}",11236 W Nebraska Avenue Young Town Plat 4,"$350,000"
Listed Simply,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,270'}",11208 W Ohio Avenue Youngtown Plat 4 Lots 595-601,"$349,900"
Exp Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,317'}",11507 W Ohio Avenue Cooks Corners Unit 1,"$340,000"
Launch Powered By Compass,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,375'}",2613 E Indigo Place Belmont Estates,"$1,124,900"
Realty Executives Arizona Territory,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,010'}",22117 S 118th Street Chandler,"$1,100,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,978'}",1415 Villa Del Norte Monte Vista Ranch Phase 2A Replat,"$995,000"
Century 21 Arizona West,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,198'}",4255 Leaf Spring Drive Wickenburg Ranch,"$975,500"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,413'}",4169 Fence Post Way Trilogy At Wickeburg Ranch,"$957,899"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,012'}","11360 N 114th Avenue Youngtown Plat 3 Lots 460-481, 501-539","$334,999"
Realty Executives,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,111'}",11317 W Connecticut Avenue Youngtown Plat 2 Lots 131-203 & Tr D,"$327,900"
Homesmart,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,067'}",24548 W Desert Vista Trail Patton Place Estates Unit 1 Amd,"$824,900"
Realty Executives,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,661'}",1777 W Ocotillo Road #26 Villas At Ocotillo Condominium,"$1,100,000"
Century 21 Arizona West,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,350'}",2800 N Silver Spur Drive Saddle Ridge West Phase 1,"$957,000"
Platinum Living Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,293'}",35400 S Turtle Creek Road --,"$950,000"
"W And Partners, Llc","{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '712'}",13021 N 113th Avenue #I Anasazi,"$168,000"
Hague Partners,"{'Beds': '2', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '1,018'}",13021 N 113th Avenue #F Anasazi,"$155,000"
A.Z. & Associates,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,760'}",28410 N Crozier Road N/A,"$767,000"
Caruso Real Estate,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,186'}",29604 N 223rd Drive Surprise Estates,"$765,000"
Platinum Living Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,438'}",270 N Stirrup Drive Saddle Ridge West,"$950,000"
"Decker And Associates Realty, Llc","{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '2,806'}",22636 W Desert Vista Trail Tribley View Estates 2.12 Acres,"$744,600"
Caruso Real Estate,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,802'}",29524 N 223rd Drive Surprise Estates,"$744,000"
Homesmart,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,140'}",28920 N Redbloom Court Patton Place Estates,"$695,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,411'}",21028 N Denver Hill Drive Chaparral Rancheros Unit 2,"$695,000"
Homesmart,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '3,211'}",20305 W Peak View Road Wittmann,"$689,900"
Silver Alliance Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,310'}",8203 N 173rd Avenue Granite Vista Phase 1D,"$829,900"
Caruso Real Estate,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,526'}",22313 W Bobwhite Way Surprise Estates,"$675,050"
"Call Realty, Inc.","{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,210'}",22003 W Blue Sky Drive N/A,"$660,000"
West Usa Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,140'}",24339 W Morning Vista Lane Patton Place Estates Unit 5,"$650,000"
West Usa Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,938'}",14435 W Cochise Drive Unknown,"$825,000"
Realty Executives,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,070'}",8222 N 178th Avenue Crystal Springs Estates Unit One,"$800,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,857'}",21332 W Old Paint Road Team Roper Central,"$650,000"
RE/MAX Professionals,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,790'}",7801 N 181st Avenue Romola Of Arizona Grape Fruit Unit No. 42 Resubdiv,"$779,900"
Realty One Group,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,529'}",17608 W Cheryl Drive Waddell Az,"$750,000"
Alta Vista Llc,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,855'}",17250 W Loma Lane Granite Vista Phase 1C,"$700,260"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,858'}",17235 W Las Palmaritas Drive Granite Vista Phase 1D,"$700,000"
Realty Executives,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,858'}",17287 W El Caminito Drive Granite Vista Phase 1D,"$680,000"
Alta Vista Llc,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,134'}",17322 W Loma Lane Granite Vista Phase 1C,"$625,940"
West Usa Realty,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,548'}",18004 W Diana Avenue White Tank Foothills,"$610,000"
Richmond American Homes,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,510'}",8400 N 186th Avenue White Tank Foothills Parcel 16,"$606,995"
Richmond American Homes,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,630'}",8319 N 186th Avenue White Tank Foothills Parcel 16,"$599,995"
Coldwell Banker Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,289'}",12677 E Nona Ln Rancho Del Lago (101-206),"$345,000"
Kms Realty,"{'Beds': '5', 'Baths': '3', 'Sq.Ft.': '2,903'}",10470 S Cutting Horse Dr Rancho Del Lago (B37-38),"$460,000"
Exp Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,386'}",13919 E Brotherton St Four Seasons Phase 1,"$520,000"
Coldwell Banker Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,854'}",515 W Grantham St New Tucson Unit No. 8 (1-455),"$415,000"
Coldwell Banker Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,253'}",562 W Weldon St New Tucson Unit No. 8 (1-455),"$449,000"
Long Realty Company,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,905'}",14086 E Voss St Del Webb At Rancho Del Lago Phase II Sq20112850077,"$410,000"
"S A Moore Realty Services, Llc","{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,673'}",8934 S Lanai Ln Jacaranda Village At Tewa Trail (1-36),"$670,000"
Morado Canyon Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,566'}",12363 E Camino Ambato  ,"$379,900"
"Indie Realty, Llc","{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,172'}",1166 N Coulee Place  ,"$579,000"
Long Realty Company,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,774'}",9449 E Barrel Springs Place Sycamore Springs (1-64),"$725,000"
Dipeso Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,048'}",3932 E Calle Bacardi  ,"$279,000"
Carlos Felipe Hernandez,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,998'}",12978 E Douglas Camp Spring Dr Rancho Del Lago (608-1030),"$469,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,627'}",38 Calle Maria Elena Barrio De Tubac,"$875,000"
Realty Executives Arizona Territory,"{'Beds': '1', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '875'}",907 Lombard Way Barrio De Tubac,"$260,000"
Realty Executives Arizona Territory,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,771'}",124 Geary Rd Barrio Trails Head,"$525,000"
Homesmart Pros Real Estate,"{'Beds': '3', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,886'}",36 Paseo Del Jaguar  ,"$600,000"
"Long Realty Tubac, Rio Rico, N","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,103'}",53 Circulo De Prado Tubac Valley Country Club Estates,"$550,000"
"Long Realty Tubac, Rio Rico, N","{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,786'}",115 Powell Court Barrio Trails Head,"$495,000"
Redfin Corporation,"{'Beds': '6', 'Baths': '4', 'Sq.Ft.': '5,760'}",35203 W Indian School Road None,"$3,150,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,800'}",64 Acacias Ct Tubac Golf Resort Development,"$558,007"
Exp Realty,"{'Beds': '7', 'Baths': '6', 'Sq.Ft.': '4,580'}",35729 W Redondo Drive Unknown,"$1,499,999"
Russ Lyon Sotheby's International Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,800'}",74 Sahuaro Ct Tubac Golf Resort Development,"$549,289"
Superlative Realty,"{'Beds': '6', 'Baths': '6 F 1 1/2', 'Sq.Ft.': '5,020'}",39410 W Avalon Drive West Phoenix Estates Unit 7,"$800,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,346'}",80 Sahuaro Ct Tubac Golf Resort Development,"$661,286"
Delex Realty,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '3,474'}",5427 N 377 Avenue Coyote Ridge Lot 69,"$750,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,346'}",72 Sahuaro Ct Tubac Golf Resort Development,"$647,236"
Realty One Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,800'}",6132 N 416th Avenue West Phoenix Estates Unit 6,"$710,000"
Realty Executives Arizona Territory,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,631'}",5 Santa Cruz Ct Palo Parado Estates,"$599,000"
Momentum Brokers Llc,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,300'}",38XXX W Buckeye Road Horseshoe Trls Amd,"$530,000"
Realty Executives Arizona Territory,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,093'}",1309 Golden Gate Way Barrio Embarcadero,"$299,000"
Delex Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,172'}",1156 S 367th Avenue N/A,"$499,999"
Dpr Realty Llc,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,150'}",36850 W Buckeye Road Unk,"$489,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,433'}",34019 W Superior Avenue Unknown,"$485,000"
Samya Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,132'}",1516 S 369th Avenue None,"$485,000"
Cozland Corporation,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,280'}",33303 W Roeser Road Dixie Park,"$470,000"
Exp Realty,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,795'}",38604 W Willetta Street Unknown,"$460,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '5', 'Sq.Ft.': '4,500'}",37yy N Never Mind Lot 2 Trail #2 Never Mind Trail,"$2,900,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '6', 'Baths': '5', 'Sq.Ft.': '6,546'}",6831 E Stagecoach Pass Carefree Plat 3B,"$2,375,000"
Realty Executives,"{'Beds': '4', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '4,593'}",37200 N Granite Creek Lane Reserve At Tranquil Trail Unit 1,"$2,250,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '4,339'}",6407 E Old Paint Trail Black Mountain Foothills,"$2,250,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '5', 'Sq.Ft.': '6,043'}",7719 E Slumber Street Carefree Too,"$2,199,000"
Success Property Brokers,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '4,014'}",37844 N Tranquil Trail See Legal In Documents,"$1,850,000"
Hague Partners,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '3,006'}",8316 E Cow Track Drive Cow Track Estates 2,"$1,800,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,556'}",2033 Smoketree Drive The Boulders,"$1,799,000"
Long Realty Jasper Associates,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,721'}",37018 N Tree Lined Trail Carefree Rolling Hills Unit 1,"$1,750,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,725'}",7840 E Serene Street Carefree Too,"$1,495,000"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,802'}",2030 Smoketree Drive The Boulders,"$1,475,000"
West Usa Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,645'}",36410 N Romping Road Carefree Rolling Hills 2,"$1,279,000"
Realty Executives Arizona Territory,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '1,262'}",1143 N Rosemont Blvd Speedway Addition No. 2,"$299,000"
"Treasure Realty And Inv., Llc","{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,232'}",10351 W Anthony Dr  ,"$249,000"
At Home Desert Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,140'}",1433 W Calle Plomo Casa Gallego (1-76),"$289,900"
Homesmart Advantage Group,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,422'}",6807 S 5th Ave Mission Heights (306-355),"$260,000"
Realty Executives Arizona Territory,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,235'}",6658 E Broadway Blvd Manana Vista,"$369,000"
Realty Executives Arizona Territory,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,076'}",5641 E 23rd St Northgate,"$265,000"
Omni Homes International,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,593'}",6630 E Calle Castor Terra Del Sol,"$350,000"
Long Realty Company,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,077'}",6655 N Canyon Crest Dr Canyon View At Ventana Condominium (1-264),"$399,500"
Keller Williams Southern Arizona,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,064'}",5737 W Box R St Tucson Estates (403-758),"$198,900"
Realty Executives Arizona Territory,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,750'}",3288 W Athenee Ct Mountain Manor View,"$385,000"
Exp Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,448'}",10750 W Ina Rd  ,"$399,900"
Russ Lyon Sotheby's International Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,292'}",605 E Agave Dr  ,"$1,295,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,000'}",12007 W Southern Avenue Meets N Bounds,"$1,600,000"
Realty One Group,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '4,048'}",6616 S 121st Avenue Holly Acres,"$1,150,000"
Realty One Group,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,793'}",6023 S 115th Avenue Unknown,"$690,000"
Realty One Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,563'}",5745 S 129th Avenue None,"$650,000"
Coldwell Banker Realty,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,336'}",4212 S 104th Lane Sunset Farms Unit 1,"$575,000"
Delex Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,457'}",2814 S 108th Drive N2(Less Th N 25F) Of W2 Of Fol Desc Prop E320 W 1948F N2ne4 Ex N 33F,"$550,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '2,015'}",12230 W Miami Street Cantada Ranch,"$530,000"
Arizona Best Real Estate,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,131'}",9567 W Illini Street Jacquelynn Ranch,"$519,990"
West Usa Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,525'}",4124 S 96th Lane Sunset Farms,"$514,900"
Arizona Best Real Estate,"{'Beds': '5', 'Baths': '4', 'Sq.Ft.': '2,945'}",10848 W Luxton Lane Verde Trails,"$508,990"
Arizona Best Real Estate,"{'Beds': '5', 'Baths': '4 F 1 1/2', 'Sq.Ft.': '3,131'}",3637 S 97th Lane Jacquelynn Ranch,"$504,990"
Lennar Sales Corp,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '2,375'}",10913 W Trumbull Road Verde Trails Parcels 1 & 2,"$504,990"
Realty Executives Arizona Territory,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,560'}",1211 North St  ,"$260,000"
Long Realty Company,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '1,674'}",129 N 12th St Coronado Heights,"$405,000"
Copper Lodge Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,120'}",1851 N Rocking Robin Road Other/Unknown,"$120,000"
Homesmart,"{'Beds': '1', 'Baths': '1', 'Sq.Ft.': '5,504'}",401 W East Street Queen Creek Addition,"$374,900"
Realty One Group Integrity,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,192'}",116 N 1st St  ,"$197,000"
Keller Williams Southern Arizona,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,112'}",3654 S Qmh Ranch Rd  ,"$359,900"
Dalton Realty,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,158'}",277 N Kellner Avenue Northside Add To Superior,"$349,500"
Homesmart,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '5,371'}",20047 N Crown Ridge Drive Sun City West 1A,"$1,299,000"
Keller Williams Southern Arizona,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,248'}",1332 N Cortez Circle  ,"$184,900"
United Country Re Az Life Homes & Land,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '640'}",1349 N Cortez Circle Tombstone Territory Estates Unit 1,"$179,000"
My Home Group Real Estate,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,036'}",397 N Lobb Avenue Addition To Superior Townsite,"$295,000"
Homesmart,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,027'}",22916 N Padaro Drive Corte Bella Country Club At Santa Monica Unit Q,"$920,000"
Coldwell Banker Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,831'}",6673 W Gleeson Rd  ,"$699,999"
Keller Williams Southern Arizona,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,231'}",1212 Toughnut St Out Of Pima County,"$194,500"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '2', 'Sq.Ft.': '1,476'}",65 W Sunset Drive Palo Verde Heights No Two,"$289,000"
Coldwell Banker Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,910'}",15801 W Huron Drive Sun City West 46A Lot 1-27,"$892,000"
Opportunity 2 Own Real Estate,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '1,944'}",200 N Magma Avenue -,"$275,000"
Hague Partners,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,027'}",13225 W Santa Ynez Drive Corte Bella Country Club Phase 1 Unit 1,"$875,000"
My Home Group Real Estate,"{'Beds': '2', 'Baths': '1', 'Sq.Ft.': '906'}",219 W Sunset Drive Smith-O'donnell Tract,"$275,000"
My Home Group Real Estate,"{'Beds': '4', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,973'}",23128 N Sol Mar Court Corte Bella Country Club Phase 3 Santa Barbara,"$800,000"
Exp Realty,"{'Beds': '4', 'Baths': '1 F 1 1/2', 'Sq.Ft.': '1,333'}",71 W Copper Street S35 T1s R12e,"$240,000"
Coldwell Banker Realty,"{'Beds': '2', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,947'}",18203 N Gardenview Drive Sun City West Unit 22,"$775,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,395'}",339 W Palo Verde Drive Monte Vista Subdivision,"$235,000"
Homesmart,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,726'}",12835 W Panchita Drive Corte Bella Country Club Unit L At Santa Catarina.,"$742,500"
Dalton Realty,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '1,148'}",1044 S Western Avenue Belmont Addition,"$225,000"
Realty One Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,982'}",13315 W Paintbrush Drive Sun City West 17B,"$729,999"
Engel & Volkers Gilbert,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '825'}",999 S Center Avenue Belmont Addition To The Town Of Superior 4-027,"$220,000"
Homesmart,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,806'}",23215 N Cardenas Drive Corte Bella Country Club,"$725,000"
West Usa Realty,"{'Beds': '4', 'Baths': '3', 'Sq.Ft.': '3,434'}",24412 S Berrybrook Drive Sun Lakes Unit 43,"$895,000"
Gentry Real Estate,"{'Beds': '3', 'Baths': '1', 'Sq.Ft.': '1,206'}",584 W Gibbs Street Belmont Addition,"$209,000"
Home Realty,"{'Beds': '3', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '2,593'}",13139 W Figueroa Drive Corte Bella Country Club At Los Gatos Unit N,"$725,000"
"Cactus Mountain Properties, Llc","{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,456'}",23601 S Desert Dance Court Sun Lakes Unit Thirty-Four,"$849,000"
RE/MAX Alliance Group,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '1,433'}",98 W Smock Avenue Palo Verde Heights 3,"$199,900"
Coldwell Banker Realty,"{'Beds': '2', 'Baths': '3', 'Sq.Ft.': '2,656'}",20404 N Aurora Drive Sun City West 1L,"$724,875"
Dpr Realty Llc,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,792'}",23808 S Stoney Lake Drive Sun Lakes Unit 45A,"$825,000"
West Usa Realty,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,650'}",12727 W Banyan Drive Sun City West Unit 12,"$704,900"
RE/MAX Solutions,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,460'}",10125 E Cedar Waxwing Drive Sun Lakes,"$799,000"
Glow Realty,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,166'}",24403 S Lakeway Circle #39 Sun Lakes Unit 39,"$775,000"
Realty One Group,"{'Beds': '4', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '3,389'}",11160 W Venturi Drive Rancho Estates Unit Four Lots 1 Through 34,"$999,000"
"Cactus Mountain Properties, Llc","{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,846'}",9421 E Sunridge Drive #40A Sun Lakes Unit Forty A,"$764,499"
Listed Simply,"{'Beds': '3', 'Baths': '2 F 1 1/2', 'Sq.Ft.': '2,894'}",15025 N Cameo Drive Sun City Unit 25,"$725,000"
Realty Marketing Group,"{'Beds': '3', 'Baths': '2', 'Sq.Ft.': '2,846'}",23820 S Bronze Drive Sun Lakes Unit 36Coakwood Section,"$710,000"
My Home Group Real Estate,"{'Beds': '5', 'Baths': '3 F 1 1/2', 'Sq.Ft.': '3,701'}",11966 W Jessie Lane Crossriver Unit 7,"$625,000"
Keller Williams Realty Phoenix,"{'Beds': '2', 'Baths': '2', 'Sq.Ft.': '2,028'}",9101 E Emerald Drive Sun Lakes Unit Thirty-Four,"$679,000"
My Home Group Real Estate,"{'Beds': '3', 'Baths': '3', 'Sq.Ft.': '2,196'}",10952 W Tropicana Circle Sun City,"$599,950"
